model_path,split_type,norm,model_id,arel_data_tr,arel_data_un,norm_arel_data_tr,norm_arel_data_un,srel_data_tr,srel_data_un,r_data_tr,r_data_un
linear-california,train,E,26,2.1519453951212,5.47828635944575,0.640193746401349,1.62976471255464,0.116257770339171,0.00417648055560844,0.657257928141685,0.412670038472151
linear-california,train,T,26,2.14970014308058,6.0346814410463,0.643830025368256,1.80737258532738,0.11651909159152,0.00239425911855739,0.683579522924793,0.421207162830934
linear-california,union,E,26,2.18679736343402,5.76855765184909,0.645479861337678,1.70271276867958,0.112275751860398,0.00312426053732974,0.641146955475097,0.382204078963139
linear-california,union,T,26,2.1844868004417,7.29282152890787,0.64854885724579,2.16515433634771,0.112535471991896,0.000680405557893711,0.670760911884247,0.363785511097847
linear-california,test,E,27,1.8903099541533,1.78269640086517,0.592458781874383,0.558730665194799,0.151024990757879,0.168184043720134,0.679889598776652,0.440770528853072
linear-california,test,T,27,1.95195108182644,2.86536096790582,0.612143322282473,0.898594026644949,0.141996753853834,0.0569625657624648,0.707946651848081,0.363605067722015
linear-california,train,E,27,2.17035486085853,3.56337209038772,0.645670476836213,1.06008662373091,0.114137106931803,0.0283430879339845,0.657749830403022,0.40777047112818
linear-california,train,T,27,2.18712381071197,3.78203735375851,0.655038323864233,1.1327110961274,0.112239105728665,0.0227762408631195,0.679489485518634,0.419313311928849
linear-california,union,E,27,2.19695938004565,3.66537532623149,0.648479397180855,1.08191366831133,0.111140581384276,0.0255945631697956,0.641886580932234,0.387101870386223
linear-california,union,T,27,2.21834176333249,4.27478137947097,0.658600004037099,1.26913313372775,0.108789357838096,0.0139150905108754,0.666666068214075,0.37560551956173
linear-california,test,E,28,1.85119715370932,2.05129474957436,0.580200092734104,0.642914452165861,0.157049041886129,0.128568331983705,0.679825995654078,0.588355142794277
linear-california,test,T,28,1.91518341150167,2.54730445935726,0.600612764946921,0.798849637746484,0.14731481087751,0.0782924222286887,0.706145858321872,0.52503670959536
